MBL,sv_addr,aerial_addr,AERIAL_Driveway,GSV_Driveway,final_label,three_class_label,aerial_filename,gsv_filename
72-C-11,"1 ALDERSEY ST, Somerville, MA",1 ALDERSEY ST,1.0,2.0,0.9,1,1_aldersey_st_aerial.png,1_aldersey_st.jpg
91-D-18,"1 ARLINGTON ST, Somerville, MA",1 ARLINGTON ST,0.0,0.0,0.0,0,1_arlington_st_aerial.png,1_arlington_st.jpg
76-E-9,"1 BEACON ST, Somerville, MA",1 BEACON ST,1.0,1.0,1.0,1,1_beacon_st_aerial.png,1_beacon_st.jpg
2-A-33,"1 CAPEN CT, Somerville, MA",1 CAPEN CT,1.0,1.0,1.0,1,1_capen_ct_aerial.png,1_capen_ct.jpg
53-D-16,"1 ELIOT ST, Somerville, MA",1 ELIOT ST,0.0,0.0,0.0,0,1_eliot_st_aerial.png,1_eliot_st.jpg
75-C-2,"1 FREMONT AVE, Somerville, MA",1 FREMONT AVE,2.0,0.0,0.1,0,1_fremont_ave_aerial.png,1_fremont_ave.jpg
44-B-7,"1 HARVARD PL, Somerville, MA",1 HARVARD PL,1.0,2.0,0.9,1,1_harvard_pl_aerial.png,1_harvard_pl.jpg
73-E-11,"1 HOMER SQ, Somerville, MA",1 HOMER SQ,1.0,1.0,1.0,1,1_homer_sq_aerial.png,1_homer_sq.jpg
38-F-11,"1 KIMBALL ST, Somerville, MA",1 KIMBALL ST,2.0,2.0,0.5,2,1_kimball_st_aerial.png,1_kimball_st.jpg
62-C-13,"1 LAWSON TERR, Somerville, MA",1 LAWSON TER,2.0,2.0,0.5,2,1_lawson_ter_aerial.png,1_lawson_terr.jpg
95-A-3,"1 LINDEN ST, Somerville, MA",1 LINDEN ST,2.0,0.0,0.1,0,1_linden_st_aerial.png,1_linden_st.jpg
74-E-16,"1 OLIVE SQ, Somerville, MA",1 OLIVE SQ,1.0,2.0,0.9,1,1_olive_sq_aerial.png,1_olive_sq.jpg
52-G-19,"1 PARK PL, Somerville, MA",1 PARK PL,1.0,2.0,0.9,1,1_park_pl_aerial.png,1_park_pl.jpg
62-B-1,"1 PRESCOTT ST, Somerville, MA",1 PRESCOTT ST,1.0,1.0,1.0,1,1_prescott_st_aerial.png,1_prescott_st.jpg
105-D-17,"1 WASHINGTON ST, Somerville, MA",1 WASHINGTON ST,1.0,1.0,1.0,1,1_washington_st_aerial.png,1_washington_st.jpg
91-B-14,"1 WEBSTER ST, Somerville, MA",1 WEBSTER ST,1.0,1.0,1.0,1,1_webster_st_aerial.png,1_webster_st.jpg
36-C-24,"1 WILLIAMS CT, Somerville, MA",1 WILLIAMS CT,1.0,2.0,0.9,1,1_williams_ct_aerial.png,1_williams_ct.jpg
45-B-12,"10 ALLEN CT, Somerville, MA",10 ALLEN CT,1.0,1.0,1.0,1,10_allen_ct_aerial.png,10_allen_ct.jpg
92-I-9,"10 AUBURN AVE, Somerville, MA",10 AUBURN AVE,1.0,1.0,1.0,1,10_auburn_ave_aerial.png,10_auburn_ave.jpg
44-H-7,"10 BEECH ST, Somerville, MA",10 BEECH ST,1.0,2.0,0.9,1,10_beech_st_aerial.png,10_beech_st.jpg
44-A-47,"10 BELMONT PL, Somerville, MA",10 BELMONT PL,1.0,1.0,1.0,1,10_belmont_pl_aerial.png,10_belmont_pl.jpg
91-D-9,"10 BROADWAY PL, Somerville, MA",10 BROADWAY PL,1.0,2.0,0.9,1,10_broadway_pl_aerial.png,10_broadway_pl.jpg
74-B-36,"10 CARLTON ST, Somerville, MA",10 CARLTON ST,2.0,2.0,0.5,2,10_carlton_st_aerial.png,10_carlton_st.jpg
52-H-10,"10 CARTER TERR, Somerville, MA",10 CARTER TER,1.0,1.0,1.0,1,10_carter_ter_aerial.png,10_carter_terr.jpg
75-E-13,"2 ADRIAN ST, Somerville, MA",2 ADRIAN ST,1.0,2.0,0.9,1,2_adrian_st_aerial.png,2_adrian_st.jpg
93-D-2,"2 ALSTON ST, Somerville, MA",2 ALSTON ST,1.0,1.0,1.0,1,2_alston_st_aerial.png,2_alston_st.jpg
38-E-46,"2 BELMONT ST, Somerville, MA",2 BELMONT ST,1.0,1.0,1.0,1,2_belmont_st_aerial.png,2_belmont_st.jpg
44-A-27,"2 BELMONT TERR, Somerville, MA",2 BELMONT TER,1.0,1.0,1.0,1,2_belmont_ter_aerial.png,2_belmont_terr.jpg
43-C-19,"2 BENTON RD, Somerville, MA",2 BENTON RD,1.0,1.0,1.0,1,2_benton_rd_aerial.png,2_benton_rd.jpg
80-G-1,"2 BIGELOW ST, Somerville, MA",2 BIGELOW ST,1.0,1.0,1.0,1,2_bigelow_st_aerial.png,2_bigelow_st.jpg
16-D-21,"2 BILLINGHAM ST, Somerville, MA",2 BILLINGHAM ST,1.0,1.0,1.0,1,2_billingham_st_aerial.png,2_billingham_st.jpg
54-F-7,"2 ELIOT ST, Somerville, MA",2 ELIOT ST,0.0,1.0,0.9,2,2_eliot_st_aerial.png,2_eliot_st.jpg
82-G-7,"2 EMERSON ST, Somerville, MA",2 EMERSON ST,1.0,2.0,0.9,1,2_emerson_st_aerial.png,2_emerson_st.jpg
73-E-12,"2 HOMER SQ, Somerville, MA",2 HOMER SQ,2.0,2.0,0.5,2,2_homer_sq_aerial.png,2_homer_sq.jpg
39-C-18,"2 KENT CT, Somerville, MA",2 KENT CT,1.0,1.0,1.0,1,2_kent_ct_aerial.png,2_kent_ct.jpg
39-H-7,"2 MILLER ST, Somerville, MA",2 MILLER ST,2.0,1.0,0.9,1,2_miller_st_aerial.png,2_miller_st.jpg
74-E-17,"2 OLIVE SQ, Somerville, MA",2 OLIVE SQ,2.0,2.0,0.5,2,2_olive_sq_aerial.png,2_olive_sq.jpg
62-A-39,"2 PRESCOTT ST, Somerville, MA",2 PRESCOTT ST,0.0,0.0,0.0,0,2_prescott_st_aerial.png,2_prescott_st.jpg
63-A-18,"2 QUINCY ST, Somerville, MA",2 QUINCY ST,1.0,1.0,1.0,1,2_quincy_st_aerial.png,2_quincy_st.jpg
75-F-3,"2 TAUNTON ST, Somerville, MA",2 TAUNTON ST,1.0,1.0,1.0,1,2_taunton_st_aerial.png,2_taunton_st.jpg
43-G-8,"2 WESTWOOD RD, Somerville, MA",2 WESTWOOD RD,1.0,1.0,1.0,1,2_westwood_rd_aerial.png,2_westwood_rd.jpg
97-E-11,"3 BEDFORD ST, Somerville, MA",3 BEDFORD ST,0.0,0.0,0.0,0,3_bedford_st_aerial.png,3_bedford_st.jpg
93-F-10,"3 BOSTON ST, Somerville, MA",3 BOSTON ST,1.0,1.0,1.0,1,3_boston_st_aerial.png,3_boston_st.jpg
93-G-9,"3 CHESTER AVE, Somerville, MA",3 CHESTER AVE,2.0,2.0,0.5,2,3_chester_ave_aerial.png,3_chester_ave.jpg
74-A-11,"3 CHURCH ST, Somerville, MA",3 CHURCH ST,1.0,1.0,1.0,1,3_church_st_aerial.png,3_church_st.jpg
92-G-17,"3 DELL ST, Somerville, MA",3 DELL ST,1.0,1.0,1.0,1,3_dell_st_aerial.png,3_dell_st.jpg
53-D-15,"3-3 ELIOT ST, Somerville, MA",3 ELIOT ST,0.0,0.0,0.0,0,3_eliot_st_aerial.png,3-3_eliot_st.jpg
91-B-6,"3 FRANKLIN ST, Somerville, MA",3 FRANKLIN ST,1.0,1.0,1.0,1,3_franklin_st_aerial.png,3_franklin_st.jpg
80-A-8,"3 GREENVILLE CT, Somerville, MA",3 GREENVILLE CT,1.0,2.0,0.9,1,3_greenville_ct_aerial.png,3_greenville_ct.jpg
39-F-3,"3 HARRIS ST, Somerville, MA",3 HARRIS ST,0.0,2.0,0.1,0,3_harris_st_aerial.png,3_harris_st.jpg
73-E-13,"3 HOMER SQ, Somerville, MA",3 HOMER SQ,1.0,1.0,1.0,1,3_homer_sq_aerial.png,3_homer_sq.jpg
39-C-4,"3 KENT CT, Somerville, MA",3 KENT CT,1.0,1.0,1.0,1,3_kent_ct_aerial.png,3_kent_ct.jpg
62-C-9,"3 LAWSON TERR, Somerville, MA",3 LAWSON TER,2.0,1.0,0.9,1,3_lawson_ter_aerial.png,3_lawson_terr.jpg
65-A-24,"3 LEWIS ST, Somerville, MA",3 LEWIS ST,1.0,2.0,0.9,1,3_lewis_st_aerial.png,3_lewis_st.jpg
36-C-47,"3 LINDEN AVE, Somerville, MA",3 LINDEN AVE,1.0,1.0,1.0,1,3_linden_ave_aerial.png,3_linden_ave.jpg
95-A-4,"3 LINDEN ST, Somerville, MA",3 LINDEN ST,1.0,1.0,1.0,1,3_linden_st_aerial.png,3_linden_st.jpg
44-C-12,"3 MONMOUTH ST, Somerville, MA",3 MONMOUTH ST,0.0,0.0,0.0,0,3_monmouth_st_aerial.png,3_monmouth_st.jpg
45-D-7,"3 MORGAN ST, Somerville, MA",3 MORGAN ST,1.0,1.0,1.0,1,3_morgan_st_aerial.png,3_morgan_st.jpg
83-A-30,"3 OAK ST, Somerville, MA",3 OAK ST,1.0,2.0,0.9,1,3_oak_st_aerial.png,3_oak_st.jpg
74-E-23,"3 OLIVE SQ, Somerville, MA",3 OLIVE SQ,2.0,0.0,0.1,0,3_olive_sq_aerial.png,3_olive_sq.jpg
52-G-20,"3 PARK PL, Somerville, MA",3 PARK PL,2.0,2.0,0.5,2,3_park_pl_aerial.png,3_park_pl.jpg
73-A-46,"3 SUMMER ST, Somerville, MA",3 SUMMER ST,1.0,1.0,1.0,1,3_summer_st_aerial.png,3_summer_st.jpg
105-D-18,"3 WASHINGTON ST, Somerville, MA",3 WASHINGTON ST,1.0,2.0,0.9,1,3_washington_st_aerial.png,3_washington_st.jpg
43-F-15,"3 WESTWOOD RD, Somerville, MA",3 WESTWOOD RD,2.0,1.0,0.9,1,3_westwood_rd_aerial.png,3_westwood_rd.jpg
97-E-10,"3R BEDFORD ST, Somerville, MA",3R BEDFORD ST,2.0,0.0,0.1,0,3r_bedford_st_aerial.png,3r_bedford_st.jpg
76-F-19,"4 BEACON ST, Somerville, MA",4 BEACON ST,1.0,1.0,1.0,1,4_beacon_st_aerial.png,4_beacon_st.jpg
39-D-13,"4 BECKWITH CIRCLE, Somerville, MA",4 BECKWITH CIR,0.0,1.0,0.9,2,4_beckwith_cir_aerial.png,4_beckwith_circle.jpg
44-A-22,"4 BELMONT TERR, Somerville, MA",4 BELMONT TER,1.0,1.0,1.0,1,4_belmont_ter_aerial.png,4_belmont_terr.jpg
83-A-23,"4 CONCORD AVE, Somerville, MA",4 CONCORD AVE,1.0,1.0,1.0,1,4_concord_ave_aerial.png,4_concord_ave.jpg
78-E-15,"4 DANA ST, Somerville, MA",4 DANA ST,2.0,0.0,0.1,0,4_dana_st_aerial.png,4_dana_st.jpg
54-F-6,"4 ELIOT ST, Somerville, MA",4 ELIOT ST,1.0,1.0,1.0,1,4_eliot_st_aerial.png,4_eliot_st.jpg
38-A-11,"4 EVERGREEN SQ, Somerville, MA",4 EVERGREEN SQ,0.0,0.0,0.0,0,4_evergreen_sq_aerial.png,4_evergreen_sq.jpg
58-B-19,"4 FLORENCE TERR, Somerville, MA",4 FLORENCE TER,1.0,1.0,1.0,1,4_florence_ter_aerial.png,4_florence_terr.jpg
54-A-8,"4 HANSON ST, Somerville, MA",4 HANSON ST,1.0,1.0,1.0,1,4_hanson_st_aerial.png,4_hanson_st.jpg
73-E-14,"4 HOMER SQ, Somerville, MA",4 HOMER SQ,2.0,1.0,0.9,1,4_homer_sq_aerial.png,4_homer_sq.jpg
83-C-18,"4 HOUGHTON ST, Somerville, MA",4 HOUGHTON ST,2.0,0.0,0.1,0,4_houghton_st_aerial.png,4_houghton_st.jpg
74-E-18,"4 LAKE ST, Somerville, MA",4 LAKE ST,1.0,2.0,0.9,1,4_lake_st_aerial.png,4_lake_st.jpg
62-C-8,"4 LAWSON TERR, Somerville, MA",4 LAWSON TER,2.0,1.0,0.9,1,4_lawson_ter_aerial.png,4_lawson_terr.jpg
74-E-22,"4 OLIVE SQ, Somerville, MA",4 OLIVE SQ,2.0,2.0,0.5,2,4_olive_sq_aerial.png,4_olive_sq.jpg
52-D-3,"4 OSGOOD ST, Somerville, MA",4 OSGOOD ST,1.0,1.0,1.0,1,4_osgood_st_aerial.png,4_osgood_st.jpg
90-H-19,"4 OTIS ST, Somerville, MA",4 OTIS ST,1.0,1.0,1.0,1,4_otis_st_aerial.png,4_otis_st.jpg
52-G-29,"4 PARK PL, Somerville, MA",4 PARK PL,2.0,2.0,0.5,2,4_park_pl_aerial.png,4_park_pl.jpg
105-D-5,"4 PEARL ST, Somerville, MA",4 PEARL ST,1.0,1.0,1.0,1,4_pearl_st_aerial.png,4_pearl_st.jpg
