,MBL,has_parking
0,47-G-17,0.0
1,38-A-47,1.0
2,44-A-48,0.0
3,25-A-13,0.0
4,25-D-16,0.0
5,51-D-1,1.0
6,65-C-6,0.0
7,81-B-16,2.0
8,76-A-19,2.0
9,62-C-17,1.0
10,20-G-16,2.0
11,30-D-39,2.0
12,31-B-2,2.0
13,20-B-20,2.0
14,17-A-61,1.0
15,83-A-26,1.0
16,42-F-7,1.0
17,40-E-24,2.0
18,57-A-12,2.0
19,62-B-25,2.0
20,56-C-1,1.0
21,56-C-1,1.0
22,13-A-45,2.0
23,2-A-18,2.0
24,24-B-3,2.0
25,1-E-9,1.0
26,64-C-21,2.0
27,49-C-1,1.0
28,7-K-9,2.0
29,14-D-6,2.0
30,42-B-6,1.0
31,105-B-8,0.0
32,50-A-9,1.0
33,53-B-8,1.0
34,39-D-12,1.0
35,31-C-32,1.0
36,92-J-10,1.0
37,36-C-3,1.0
38,91-E-7,1.0
39,51-F-21,1.0
40,58-D-21,1.0
41,8-E-11,1.0
42,30-D-14,1.0
43,15-E-13,1.0
44,8-J-34,1.0
45,30-D-31,1.0
46,25-F-17,1.0
47,11-D-1,1.0
48,78-F-4,1.0
49,105-C-37,1.0
50,30-D-7,1.0
51,92-D-10,1.0
52,89-G-1,1.0
53,11-C-27,1.0
54,47-B-5,1.0
55,11-C-28,1.0
56,104-D-19,1.0
57,60-C-16,1.0
58,43-C-4,1.0
59,41-D-5,1.0
60,25-D-20,1.0
61,3-D-41,1.0
62,104-A-33,1.0
63,92-D-1,1.0
64,43-E-13,1.0
65,59-A-16,0.0
66,66-D-17,1.0
67,23-B-13,1.0
68,54-G-27,1.0
69,41-E-5,1.0
70,16-C-19,1.0
71,89-D-8,1.0
72,20-E-8,1.0
73,20-B-24,1.0
74,89-B-9,1.0
75,59-C-22,1.0
76,96-D-4,1.0
77,96-D-4,2.0
78,15-B-16,1.0
79,81-A-20,1.0
80,9-C-10,1.0
81,16-C-39,1.0
82,103-G-10,1.0
83,38-A-59,1.0
84,52-H-24,0.0
85,76-F-13,0.0
86,74-C-1,0.0
87,105-C-18,0.0
88,48-E-9,0.0
89,50-B-12,1.0
90,11-E-29,1.0
91,103-A-16,1.0
92,9-A-34,1.0
93,83-C-15,1.0
94,29-K-10,1.0
95,45-C-7,1.0
96,44-G-2,1.0
97,74-D-11,1.0
98,13-B-23,0.0
99,28-E-22,0.0
100,8-B-11,1.0
101,47-I-10,1.0
102,52-E-2,1.0
103,70-B-10,1.0
104,30-B-27,1.0
105,73-A-37,1.0
106,76-B-4,1.0
107,91-H-13,1.0
108,47-B-8,1.0
109,49-I-17,1.0
110,89-H-3,1.0
111,47-H-14,1.0
112,89-J-3,1.0
113,36-A-60,1.0
114,51-E-12,1.0
115,44-A-53,1.0
116,83-A-57,1.0
117,9-D-16,1.0
118,20-G-9,1.0
119,36-A-7,1.0
120,22-H-21,0.0
121,39-C-23,1.0
122,25-D-3,1.0
123,9-D-20,1.0
124,68-D-28,1.0
125,24-H-5,1.0
126,68-C-1,1.0
127,27-J-19,1.0
128,27-J-19,1.0
129,24-H-7,1.0
130,11-F-2,1.0
131,80-F-6,1.0
132,46-F-33,1.0
133,27-K-21,1.0
134,28-J-9,1.0
135,13-E-22,1.0
136,40-H-9,1.0
137,41-E-7,1.0
138,69-D-8,1.0
139,27-H-12,1.0
140,26-I-18,1.0
141,26-G-4,1.0
142,51-B-19,1.0
143,37-D-7,1.0
144,104-C-3,1.0
145,56-B-28,1.0
146,27-G-26,1.0
147,79-H-1,1.0
148,18-A-5,1.0
149,22-E-4,1.0
150,10-E-20,1.0
