index,ADDR_NUM,FULL_STR,MBL,ADDRESS_FOR_STREET_VIEW,AERIAL_Driveway,GSV_Driveway,final_label,aerial_filename,gsv_filename
8495,1,ESSEX ST,50-B-12,"1  ESSEX ST, SOMERVILLE, MA",2,1,0.9,1_ESSEX_ST_aerial.png,1_ESSEX_ST.jpg
8524,1,PACKARD AVE,11-E-29,"1  PACKARD AVE, SOMERVILLE, MA",2,1,0.9,1_PACKARD_AVE_aerial.png,1_PACKARD_AVE.jpg
8537,1,THURSTON ST,50-A-9,"1  THURSTON ST, SOMERVILLE, MA",1,2,0.9,1_THURSTON_ST_aerial.png,1_THURSTON_ST.jpg
8545,1,WEBSTER ST,91-B-14,"1  WEBSTER ST, SOMERVILLE, MA",1,1,1,1_WEBSTER_ST_aerial.png,1_WEBSTER_ST.jpg
8573,3,AVON ST,51-E-30,"3  AVON ST, SOMERVILLE, MA",1,1,1,3_AVON_ST_aerial.png,3_AVON_ST.jpg
8584,3,DANE ST,53-B-8,"3  DANE ST, SOMERVILLE, MA",1,2,0.9,3_DANE_ST_aerial.png,3_DANE_ST.jpg
9122,4,LINCOLN PL,103-A-16,"4  LINCOLN PL, SOMERVILLE, MA",2,1,0.9,4_LINCOLN_PL_aerial.png,4_LINCOLN_PL.jpg
8027,5,CHESTER AVE,93-G-8,"5  CHESTER AVE, SOMERVILLE, MA",1,1,1,5_CHESTER_AVE_aerial.png,5_CHESTER_AVE.jpg
8041,5,DOUGLAS AVE,47-G-17,"5  DOUGLAS AVE, SOMERVILLE, MA",2,2,0.5,5_DOUGLAS_AVE_aerial.png,5_DOUGLAS_AVE.jpg
8095,5,MINER ST,49-H-6,"5  MINER ST, SOMERVILLE, MA",1,1,1,5_MINER_ST_aerial.png,5_MINER_ST.jpg
8101,5,MUNROE ST,80-C-6,"5  MUNROE ST, SOMERVILLE, MA",1,1,1,5_MUNROE_ST_aerial.png,5_MUNROE_ST.jpg
8152,5,WINDSOR RD,29-L-14,"5  WINDSOR RD, SOMERVILLE, MA",1,1,1,5_WINDSOR_RD_aerial.png,5_WINDSOR_RD.jpg
12,5,ALBION ST,42-B-25,"5 ALBION ST, SOMERVILLE, MA",1,1,1,5_ALBION_ST_aerial.png,5_ALBION_ST.jpg
6464,6,FARRAGUT AVE,9-A-34,"6  FARRAGUT AVE, SOMERVILLE, MA",2,1,0.9,6_FARRAGUT_AVE_aerial.png,6_FARRAGUT_AVE.jpg
6478,6,GREENVILLE ST,80-B-26,"6  GREENVILLE ST, SOMERVILLE, MA",2,0,0.1,6_GREENVILLE_ST_aerial.png,6_GREENVILLE_ST.jpg
6488,6,HILLSIDE CIR,38-A-47,"6  HILLSIDE CIR, SOMERVILLE, MA",2,2,0.5,6_HILLSIDE_CIR_aerial.png,6_HILLSIDE_CIR.jpg
631,7,BARTON ST,8-H-13,"7  BARTON ST, SOMERVILLE, MA",1,1,1,7_BARTON_ST_aerial.png,7_BARTON_ST.jpg
633,7,BECKWITH CIRCLE,39-D-12,"7  BECKWITH CIRCLE, SOMERVILLE, MA",1,2,0.9,7_BECKWITH_CIRCLE_aerial.png,7_BECKWITH_CIRCLE.jpg
647,7,BROOK ST,90-E-11,"7  BROOK ST, SOMERVILLE, MA",1,1,1,7_BROOK_ST_aerial.png,7_BROOK_ST.jpg
651,7,CAMPBELL PK,17-G-12,"7  CAMPBELL PK, SOMERVILLE, MA",0,0,0,7_CAMPBELL_PK_aerial.png,7_CAMPBELL_PK.jpg
7627,8,BEACON TERR,31-C-32,"8  BEACON TERR, SOMERVILLE, MA",1,2,0.9,8_BEACON_TERR_aerial.png,8_BEACON_TERR.jpg
7629,8,BELMONT PL,44-A-48,"8  BELMONT PL, SOMERVILLE, MA",2,2,0.5,8_BELMONT_PL_aerial.png,8_BELMONT_PL.jpg
7654,8,CLAREMON ST,13-C-24,"8  CLAREMON ST, SOMERVILLE, MA",2,0,0.1,8_CLAREMON_ST_aerial.png,8_CLAREMON_ST.jpg
7669,8,DRESDEN CIR,25-A-13,"8  DRESDEN CIR, SOMERVILLE, MA",2,2,0.5,8_DRESDEN_CIR_aerial.png,8_DRESDEN_CIR.jpg
7682,8,FAIRVIEW TERR,48-C-29,"8  FAIRVIEW TERR, SOMERVILLE, MA",1,1,1,8_FAIRVIEW_TERR_aerial.png,8_FAIRVIEW_TERR.jpg
7693,8,GILMAN ST,92-J-10,"8  GILMAN ST, SOMERVILLE, MA",1,2,0.9,8_GILMAN_ST_aerial.png,8_GILMAN_ST.jpg
7706,8,HAWTHORNE ST,25-D-16,"8  HAWTHORNE ST, SOMERVILLE, MA",2,2,0.5,8_HAWTHORNE_ST_aerial.png,8_HAWTHORNE_ST.jpg
7713,8,HOUGHTON ST,83-C-15,"8  HOUGHTON ST, SOMERVILLE, MA",2,1,0.9,8_HOUGHTON_ST_aerial.png,8_HOUGHTON_ST.jpg
7751,8,NEVADA AVE,54-B-14,"8  NEVADA AVE, SOMERVILLE, MA",1,1,1,8_NEVADA_AVE_aerial.png,8_NEVADA_AVE.jpg
7768,8,PLEASANT AVE,72-D-9,"8  PLEASANT AVE, SOMERVILLE, MA",1,1,1,8_PLEASANT_AVE_aerial.png,8_PLEASANT_AVE.jpg
7810,8,WINDSOR RD,29-K-10,"8  WINDSOR RD, SOMERVILLE, MA",2,1,0.9,8_WINDSOR_RD_aerial.png,8_WINDSOR_RD.jpg
901,9,CHESTER AVE,93-G-4,"9  CHESTER AVE, SOMERVILLE, MA",1,1,1,9_CHESTER_AVE_aerial.png,9_CHESTER_AVE.jpg
910,9,CREST HILL RD,55-D-11,"9  CREST HILL RD, SOMERVILLE, MA",1,1,1,9_CREST_HILL_RD_aerial.png,9_CREST_HILL_RD.jpg
912,9,CROSS ST,90-C-8,"9  CROSS ST, SOMERVILLE, MA",2,0,0.1,9_CROSS_ST_aerial.png,9_CROSS_ST.jpg
962,9,HARRISON ST,45-C-7,"9  HARRISON ST, SOMERVILLE, MA",2,1,0.9,9_HARRISON_ST_aerial.png,9_HARRISON_ST.jpg
965,9,HERSEY ST,51-D-1,"9  HERSEY ST, SOMERVILLE, MA",2,2,0.5,9_HERSEY_ST_aerial.png,9_HERSEY_ST.jpg
969,9,HOLYOKE RD,31-D-8,"9  HOLYOKE RD, SOMERVILLE, MA",2,0,0.1,9_HOLYOKE_RD_aerial.png,9_HOLYOKE_RD.jpg
1006,9,MELVILLE RD,55-C-13,"9  MELVILLE RD, SOMERVILLE, MA",1,1,1,9_MELVILLE_RD_aerial.png,9_MELVILLE_RD.jpg
1027,9,OLIVE AVE,36-C-3,"9  OLIVE AVE, SOMERVILLE, MA",1,2,0.9,9_OLIVE_AVE_aerial.png,9_OLIVE_AVE.jpg
1032,9,PARKDALE ST,65-C-6,"9  PARKDALE ST, SOMERVILLE, MA",2,2,0.5,9_PARKDALE_ST_aerial.png,9_PARKDALE_ST.jpg
1044,9,PINCKNEY ST,105-C-22,"9  PINCKNEY ST, SOMERVILLE, MA",1,1,1,9_PINCKNEY_ST_aerial.png,9_PINCKNEY_ST.jpg
1049,9,PRESCOTT ST,62-B-3,"9  PRESCOTT ST, SOMERVILLE, MA",1,1,1,9_PRESCOTT_ST_aerial.png,9_PRESCOTT_ST.jpg
1061,9,SANBORN AVE,73-B-12,"9  SANBORN AVE, SOMERVILLE, MA",1,1,1,9_SANBORN_AVE_aerial.png,9_SANBORN_AVE.jpg
1064,9,SELLON PL,60-D-12,"9  SELLON PL, SOMERVILLE, MA",2,0,0.1,9_SELLON_PL_aerial.png,9_SELLON_PL.jpg
1071,9,SPRING ST,44-H-1,"9  SPRING ST, SOMERVILLE, MA",1,1,1,9_SPRING_ST_aerial.png,9_SPRING_ST.jpg
1076,9,SUMMIT ST,20-E-11,"9  SUMMIT ST, SOMERVILLE, MA",1,1,1,9_SUMMIT_ST_aerial.png,9_SUMMIT_ST.jpg
1097,9,WARNER ST,19-A-17,"9  WARNER ST, SOMERVILLE, MA",2,0,0.1,9_WARNER_ST_aerial.png,9_WARNER_ST.jpg
35,9,ALDERSEY ST,72-C-12,"9 ALDERSEY ST, SOMERVILLE, MA",1,1,1,9_ALDERSEY_ST_aerial.png,9_ALDERSEY_ST.jpg
361,10,ARLINGTON ST,91-E-7,"10  ARLINGTON ST, SOMERVILLE, MA",1,2,0.9,10_ARLINGTON_ST_aerial.png,10_ARLINGTON_ST.jpg
